Column1;year;category;prize;prize_share;laureate_id;laureate_type;full_name;birth_date;birth_city;birth_country;sex;organization_name;organization_city;organization_country;death_date;death_city;death_country;usa_born_winner;decade;female;age;age_group
192;1937;Literature;The Nobel Prize in Literature 1937;01.01.2026;609;Individual;Roger Martin du Gard;1881-03-23;Neuilly-sur-Seine;France;Male;;;;22.08.1958;Bell?me;France;ÀŒ∆‹;1930;ÀŒ∆‹;56.0;Adult
193;1937;Medicine;The Nobel Prize in Physiology or Medicine 1937;01.01.2026;332;Individual;Albert von Szent-Gy?rgyi Nagyr?polt;1893-09-16;Budapest;Austria-Hungary (Hungary);Male;Szeged University;Szeged;Hungary;22.10.1986;Woods Hole, MA;United States of America;ÀŒ∆‹;1930;ÀŒ∆‹;44.0;Adult
194;1937;Peace;The Nobel Peace Prize 1937;01.01.2026;502;Individual;Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil);1864-09-14;London;United Kingdom;Male;;;;24.11.1958;Tunbridge Wells;United Kingdom;ÀŒ∆‹;1930;ÀŒ∆‹;73.0;Senior
195;1937;Physics;The Nobel Prize in Physics 1937;01.02.2026;44;Individual;Clinton Joseph Davisson;1881-10-22;Bloomington, IL;United States of America;Male;Bell Telephone Laboratories;New York, NY;United States of America;01.02.1958;Charlottesville, VA;United States of America;»—“»Õ¿;1930;ÀŒ∆‹;56.0;Adult
196;1937;Physics;The Nobel Prize in Physics 1937;01.02.2026;45;Individual;George Paget Thomson;1892-05-03;Cambridge;United Kingdom;Male;London University;London;United Kingdom;10.09.1975;Cambridge;United Kingdom;ÀŒ∆‹;1930;ÀŒ∆‹;45.0;Adult
197;1938;Chemistry;The Nobel Prize in Chemistry 1938;01.01.2026;198;Individual;Richard Kuhn;1900-12-03;Vienna;Austria-Hungary (Austria);Male;Kaiser-Wilhelm-Institut (now Max-Planck Institut) f?r Medizinische Forschung;Heidelberg;Germany;31.07.1967;Heidelberg;West Germany (Germany);ÀŒ∆‹;1930;ÀŒ∆‹;38.0;Adult
198;1938;Literature;The Nobel Prize in Literature 1938;01.01.2026;610;Individual;Pearl Buck;1892-06-26;Hillsboro, WV;United States of America;Female;;;;06.03.1973;Danby, VT;United States of America;»—“»Õ¿;1930;»—“»Õ¿;46.0;Adult
199;1938;Medicine;The Nobel Prize in Physiology or Medicine 1938;01.01.2026;333;Individual;Corneille Jean Fran?ois Heymans;1892-03-28;Ghent;Belgium;Male;Ghent University;Ghent;Belgium;18.07.1968;Knokke;Belgium;ÀŒ∆‹;1930;ÀŒ∆‹;46.0;Adult
200;1938;Peace;The Nobel Peace Prize 1938;01.01.2026;503;Organization;Office international Nansen pour les R?fugi?s (Nansen International Office for Refugees);;;;;;;;;;;ÀŒ∆‹;1930;ÀŒ∆‹;;Senior
201;1938;Physics;The Nobel Prize in Physics 1938;01.01.2026;46;Individual;Enrico Fermi;1901-09-29;Rome;Italy;Male;Rome University;Rome;Italy;28.11.1954;Chicago, IL;United States of America;ÀŒ∆‹;1930;ÀŒ∆‹;37.0;Adult
202;1939;Chemistry;The Nobel Prize in Chemistry 1939;01.02.2026;199;Individual;Adolf Friedrich Johann Butenandt;1903-03-24;Bremerhaven-Lehe;Germany;Male;Kaiser-Wilhelm-Institut (now Max-Planck-Institut) f?r Biochemie;Berlin-Dahlem;Germany;18.01.1995;Munich;Germany;ÀŒ∆‹;1930;ÀŒ∆‹;36.0;Adult
203;1939;Chemistry;The Nobel Prize in Chemistry 1939;01.02.2026;200;Individual;Leopold Ruzicka;1887-09-13;Vukovar;Austria-Hungary (Croatia);Male;Eidgen?ssische Technische Hochschule (Swiss Federal Institute of Technology);Zurich;Switzerland;26.09.1976;Zurich;Switzerland;ÀŒ∆‹;1930;ÀŒ∆‹;52.0;Adult
204;1939;Literature;The Nobel Prize in Literature 1939;01.01.2026;613;Individual;Frans Eemil Sillanp??;1888-09-16;H?meenkyr?;Russian Empire (Finland);Male;;;;03.06.1964;Helsinki;Finland;ÀŒ∆‹;1930;ÀŒ∆‹;51.0;Adult
205;1939;Medicine;The Nobel Prize in Physiology or Medicine 1939;01.01.2026;334;Individual;Gerhard Domagk;1895-10-30;Lagow;Germany (Poland);Male;Munster University;Munster;Germany;24.04.1964;Burgberg;West Germany (Germany);ÀŒ∆‹;1930;ÀŒ∆‹;44.0;Adult
206;1939;Physics;The Nobel Prize in Physics 1939;01.01.2026;47;Individual;Ernest Orlando Lawrence;1901-08-08;Canton, SD;United States of America;Male;University of California;Berkeley, CA;United States of America;27.08.1958;Palo Alto, CA;United States of America;»—“»Õ¿;1930;ÀŒ∆‹;38.0;Adult
207;1943;Chemistry;The Nobel Prize in Chemistry 1943;01.01.2026;201;Individual;George de Hevesy;1885-08-01;Budapest;Austria-Hungary (Hungary);Male;Stockholm University;Stockholm;Sweden;05.07.1966;Freiburg im Breisgau;West Germany (Germany);ÀŒ∆‹;1940;ÀŒ∆‹;58.0;Adult
208;1943;Medicine;The Nobel Prize in Physiology or Medicine 1943;01.02.2026;335;Individual;Henrik Carl Peter Dam;1895-02-21;Copenhagen;Denmark;Male;Polytechnic Institute;Copenhagen;Denmark;17.04.1976;Copenhagen;Denmark;ÀŒ∆‹;1940;ÀŒ∆‹;48.0;Adult
209;1943;Medicine;The Nobel Prize in Physiology or Medicine 1943;01.02.2026;336;Individual;Edward Adelbert Doisy;1893-11-13;Hume, IL;United States of America;Male;Saint Louis University;St. Louis, MO;United States of America;23.10.1986;St. Louis, MO;United States of America;»—“»Õ¿;1940;ÀŒ∆‹;50.0;Adult
210;1943;Physics;The Nobel Prize in Physics 1943;01.01.2026;48;Individual;Otto Stern;1888-02-17;Sorau (Zory);Germany (Poland);Male;Carnegie Institute of Technology;Pittsburgh, PA;United States of America;17.08.1969;Berkeley, CA;United States of America;ÀŒ∆‹;1940;ÀŒ∆‹;55.0;Adult
211;1944;Chemistry;The Nobel Prize in Chemistry 1944;01.01.2026;202;Individual;Otto Hahn;1879-03-08;Frankfurt-on-the-Main;Germany;Male;Kaiser-Wilhelm-Institut (now Max-Planck Institut) f?r Chemie;Berlin-Dahlem;Germany;28.07.1968;G?ttingen;West Germany (Germany);ÀŒ∆‹;1940;ÀŒ∆‹;65.0;Senior
212;1944;Literature;The Nobel Prize in Literature 1944;01.01.2026;614;Individual;Johannes Vilhelm Jensen;1873-01-20;Fars?;Denmark;Male;;;;25.11.1950;Copenhagen;Denmark;ÀŒ∆‹;1940;ÀŒ∆‹;71.0;Senior
213;1944;Medicine;The Nobel Prize in Physiology or Medicine 1944;01.02.2026;337;Individual;Joseph Erlanger;1874-01-05;San Francisco, CA;United States of America;Male;Washington University;St. Louis, MO;United States of America;05.12.1965;St. Louis, MO;United States of America;»—“»Õ¿;1940;ÀŒ∆‹;70.0;Senior
214;1944;Medicine;The Nobel Prize in Physiology or Medicine 1944;01.02.2026;338;Individual;Herbert Spencer Gasser;1888-07-05;Platteville, WI;United States of America;Male;Rockefeller Institute for Medical Research;New York, NY;United States of America;11.05.1963;New York, NY;United States of America;»—“»Õ¿;1940;ÀŒ∆‹;56.0;Adult
215;1944;Peace;The Nobel Peace Prize 1944;01.01.2026;482;Organization;Comit? international de la Croix Rouge (International Committee of the Red Cross);;;;;;;;;;;ÀŒ∆‹;1940;ÀŒ∆‹;;Senior
216;1944;Physics;The Nobel Prize in Physics 1944;01.01.2026;49;Individual;Isidor Isaac Rabi;1898-07-29;Rymanow;Austria-Hungary (Poland);Male;Columbia University;New York, NY;United States of America;11.01.1988;New York, NY;United States of America;ÀŒ∆‹;1940;ÀŒ∆‹;46.0;Adult
217;1945;Chemistry;The Nobel Prize in Chemistry 1945;01.01.2026;203;Individual;Artturi Ilmari Virtanen;1895-01-15;Helsinki;Russian Empire (Finland);Male;University of Helsinki;Helsinki;Finland;11.11.1973;Helsinki;Finland;ÀŒ∆‹;1940;ÀŒ∆‹;50.0;Adult
218;1945;Literature;The Nobel Prize in Literature 1945;01.01.2026;615;Individual;Gabriela Mistral;1889-04-07;Vicu?a;Chile;Female;;;;10.01.1957;Hempstead, NY;United States of America;ÀŒ∆‹;1940;»—“»Õ¿;56.0;Adult
219;1945;Medicine;The Nobel Prize in Physiology or Medicine 1945;01.03.2026;339;Individual;Sir Alexander Fleming;1881-08-06;Lochfield;Scotland;Male;London University;London;United Kingdom;11.03.1955;London;United Kingdom;ÀŒ∆‹;1940;ÀŒ∆‹;64.0;Adult
220;1945;Medicine;The Nobel Prize in Physiology or Medicine 1945;01.03.2026;340;Individual;Ernst Boris Chain;1906-06-19;Berlin;Germany;Male;University of Oxford;Oxford;United Kingdom;12.08.1979;Mulrany;Ireland;ÀŒ∆‹;1940;ÀŒ∆‹;39.0;Adult
221;1945;Medicine;The Nobel Prize in Physiology or Medicine 1945;01.03.2026;341;Individual;Sir Howard Walter Florey;1898-09-24;Adelaide;Australia;Male;University of Oxford;Oxford;United Kingdom;21.02.1968;Oxford;United Kingdom;ÀŒ∆‹;1940;ÀŒ∆‹;47.0;Adult
222;1945;Peace;The Nobel Peace Prize 1945;01.01.2026;505;Individual;Cordell Hull;1871-10-02;Olympus, TN;United States of America;Male;;;;23.07.1955;Bethesda, MD;United States of America;»—“»Õ¿;1940;ÀŒ∆‹;74.0;Senior
223;1945;Physics;The Nobel Prize in Physics 1945;01.01.2026;50;Individual;Wolfgang Pauli;1900-04-25;Vienna;Austria;Male;Princeton University;Princeton, NJ;United States of America;15.12.1958;Zurich;Switzerland;ÀŒ∆‹;1940;ÀŒ∆‹;45.0;Adult
224;1946;Chemistry;The Nobel Prize in Chemistry 1946;01.02.2026;204;Individual;James Batcheller Sumner;1887-11-19;Canton, MA;United States of America;Male;Cornell University;Ithaca, NY;United States of America;12.08.1955;Buffalo, NY;United States of America;»—“»Õ¿;1940;ÀŒ∆‹;59.0;Adult
225;1946;Chemistry;The Nobel Prize in Chemistry 1946;01.04.2026;205;Individual;John Howard Northrop;1891-07-05;Yonkers, NY;United States of America;Male;Rockefeller Institute for Medical Research;Princeton, NJ;United States of America;27.05.1987;Wickenberg, AZ;United States of America;»—“»Õ¿;1940;ÀŒ∆‹;55.0;Adult
226;1946;Chemistry;The Nobel Prize in Chemistry 1946;01.04.2026;206;Individual;Wendell Meredith Stanley;1904-08-16;Ridgeville, IN;United States of America;Male;Rockefeller Institute for Medical Research;Princeton, NJ;United States of America;15.06.1971;Salamanca;Spain;»—“»Õ¿;1940;ÀŒ∆‹;42.0;Adult
227;1946;Literature;The Nobel Prize in Literature 1946;01.01.2026;617;Individual;Hermann Hesse;1877-07-02;Calw;Germany;Male;;;;09.08.1962;Montagnola;Switzerland;ÀŒ∆‹;1940;ÀŒ∆‹;69.0;Senior
228;1946;Medicine;The Nobel Prize in Physiology or Medicine 1946;01.01.2026;342;Individual;Hermann Joseph Muller;1890-12-21;New York, NY;United States of America;Male;Indiana University;Bloomington, IN;United States of America;05.04.1967;;;»—“»Õ¿;1940;ÀŒ∆‹;56.0;Adult
229;1946;Peace;The Nobel Peace Prize 1946;01.02.2026;506;Individual;Emily Greene Balch;1867-01-08;Jamaica Plain, MA (Boston);United States of America;Female;;;;09.01.1961;Cambridge, MA;United States of America;»—“»Õ¿;1940;»—“»Õ¿;79.0;Senior
230;1946;Peace;The Nobel Peace Prize 1946;01.02.2026;507;Individual;John Raleigh Mott;1865-05-25;Livingston Manor, NY;United States of America;Male;;;;31.01.1955;;United States of America;»—“»Õ¿;1940;ÀŒ∆‹;81.0;Senior
231;1946;Physics;The Nobel Prize in Physics 1946;01.01.2026;51;Individual;Percy Williams Bridgman;1882-04-21;Cambridge, MA;United States of America;Male;Harvard University;Cambridge, MA;United States of America;20.08.1961;Randolph, NH;United States of America;»—“»Õ¿;1940;ÀŒ∆‹;64.0;Adult
232;1947;Chemistry;The Nobel Prize in Chemistry 1947;01.01.2026;207;Individual;Sir Robert Robinson;1886-09-13;Rufford, near Chesterfield;United Kingdom;Male;University of Oxford;Oxford;United Kingdom;08.02.1975;Great Missenden;United Kingdom;ÀŒ∆‹;1940;ÀŒ∆‹;61.0;Adult
233;1947;Literature;The Nobel Prize in Literature 1947;01.01.2026;618;Individual;Andr? Paul Guillaume Gide;1869-11-22;Paris;France;Male;;;;19.02.1951;Paris;France;ÀŒ∆‹;1940;ÀŒ∆‹;78.0;Senior
234;1947;Medicine;The Nobel Prize in Physiology or Medicine 1947;01.04.2026;343;Individual;Carl Ferdinand Cori;1896-12-05;Prague;Austria-Hungary (Czech Republic);Male;Washington University;St. Louis, MO;United States of America;20.10.1984;Cambridge, MA;United States of America;ÀŒ∆‹;1940;ÀŒ∆‹;51.0;Adult
235;1947;Medicine;The Nobel Prize in Physiology or Medicine 1947;01.04.2026;344;Individual;Gerty Theresa Cori, n?e Radnitz;1896-08-15;Prague;Austria-Hungary (Czech Republic);Female;Washington University;St. Louis, MO;United States of America;26.10.1957;St. Louis, MO;United States of America;ÀŒ∆‹;1940;»—“»Õ¿;51.0;Adult
236;1947;Medicine;The Nobel Prize in Physiology or Medicine 1947;01.02.2026;345;Individual;Bernardo Alberto Houssay;1887-04-10;Buenos Aires;Argentina;Male;Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine);Buenos Aires;Argentina;21.09.1971;Buenos Aires;Argentina;ÀŒ∆‹;1940;ÀŒ∆‹;60.0;Adult
237;1947;Peace;The Nobel Peace Prize 1947;01.02.2026;508;Organization;Friends Service Council (The Quakers);;;;;;;;;;;ÀŒ∆‹;1940;ÀŒ∆‹;;Senior
238;1947;Peace;The Nobel Peace Prize 1947;01.02.2026;509;Organization;American Friends Service Committee (The Quakers);;;;;;;;;;;ÀŒ∆‹;1940;ÀŒ∆‹;;Senior
239;1947;Physics;The Nobel Prize in Physics 1947;01.01.2026;52;Individual;Sir Edward Victor Appleton;1892-09-06;Bradford;United Kingdom;Male;Department of Scientific and Industrial Research;London;United Kingdom;21.04.1965;Edinburgh;Scotland;ÀŒ∆‹;1940;ÀŒ∆‹;55.0;Adult
240;1948;Chemistry;The Nobel Prize in Chemistry 1948;01.01.2026;208;Individual;Arne Wilhelm Kaurin Tiselius;1902-08-10;Stockholm;Sweden;Male;Uppsala University;Uppsala;Sweden;29.10.1971;Uppsala;Sweden;ÀŒ∆‹;1940;ÀŒ∆‹;46.0;Adult
241;1948;Literature;The Nobel Prize in Literature 1948;01.01.2026;619;Individual;Thomas Stearns Eliot;1888-09-26;St. Louis, MO;United States of America;Male;;;;04.01.1965;London;United Kingdom;»—“»Õ¿;1940;ÀŒ∆‹;60.0;Adult
242;1948;Medicine;The Nobel Prize in Physiology or Medicine 1948;01.01.2026;346;Individual;Paul Hermann M?ller;1899-01-12;Olten;Switzerland;Male;Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.);Basel;Switzerland;12.10.1965;Basel;Switzerland;ÀŒ∆‹;1940;ÀŒ∆‹;49.0;Adult
243;1948;Physics;The Nobel Prize in Physics 1948;01.01.2026;53;Individual;Patrick Maynard Stuart Blackett;1897-11-18;London;United Kingdom;Male;Victoria University;Manchester;United Kingdom;13.07.1974;London;United Kingdom;ÀŒ∆‹;1940;ÀŒ∆‹;51.0;Adult
244;1949;Chemistry;The Nobel Prize in Chemistry 1949;01.01.2026;209;Individual;William Francis Giauque;1895-05-12;Niagara Falls;Canada;Male;University of California;Berkeley, CA;United States of America;28.03.1982;Berkeley, CA;United States of America;ÀŒ∆‹;1940;ÀŒ∆‹;54.0;Adult
245;1949;Literature;The Nobel Prize in Literature 1949;01.01.2026;620;Individual;William Faulkner;1897-09-25;New Albany, MS;United States of America;Male;;;;06.07.1962;Byhalia, MS;United States of America;»—“»Õ¿;1940;ÀŒ∆‹;52.0;Adult
246;1949;Medicine;The Nobel Prize in Physiology or Medicine 1949;01.02.2026;347;Individual;Walter Rudolf Hess;1881-03-17;Frauenfeld;Switzerland;Male;University of Zurich;Zurich;Switzerland;12.08.1973;Ascona;Switzerland;ÀŒ∆‹;1940;ÀŒ∆‹;68.0;Senior
247;1949;Medicine;The Nobel Prize in Physiology or Medicine 1949;01.02.2026;348;Individual;Antonio Caetano de Abreu Freire Egas Moniz;1874-11-29;Avanca;Portugal;Male;University of Lisbon;Lisbon;Portugal;13.12.1955;Lisbon;Portugal;ÀŒ∆‹;1940;ÀŒ∆‹;75.0;Senior
248;1949;Peace;The Nobel Peace Prize 1949;01.01.2026;510;Individual;Lord (John) Boyd Orr of Brechin;1880-09-23;Kilmaurs;Scotland;Male;;;;25.06.1971;Edzell;Scotland;ÀŒ∆‹;1940;ÀŒ∆‹;69.0;Senior
249;1949;Physics;The Nobel Prize in Physics 1949;01.01.2026;54;Individual;Hideki Yukawa;1907-01-23;Tokyo;Japan;Male;Kyoto Imperial University;Kyoto;Japan;08.09.1981;Kyoto;Japan;ÀŒ∆‹;1940;ÀŒ∆‹;42.0;Adult
250;1950;Chemistry;The Nobel Prize in Chemistry 1950;01.02.2026;210;Individual;Otto Paul Hermann Diels;1876-01-23;Hamburg;Germany;Male;Kiel University;Kiel;Federal Republic of Germany;07.03.1954;Kiel;West Germany (Germany);ÀŒ∆‹;1950;ÀŒ∆‹;74.0;Senior
251;1950;Chemistry;The Nobel Prize in Chemistry 1950;01.02.2026;211;Individual;Kurt Alder;1902-07-10;K?nigsh?tte (Chorz?w);Prussia (Poland);Male;Cologne University;Cologne;Federal Republic of Germany;20.06.1958;Cologne;West Germany (Germany);ÀŒ∆‹;1950;ÀŒ∆‹;48.0;Adult
252;1950;Literature;The Nobel Prize in Literature 1950;01.01.2026;621;Individual;Earl (Bertrand Arthur William) Russell;1872-05-18;Trelleck;United Kingdom;Male;;;;02.02.1970;Penrhyndeudraeth;United Kingdom;ÀŒ∆‹;1950;ÀŒ∆‹;78.0;Senior
253;1950;Medicine;The Nobel Prize in Physiology or Medicine 1950;01.03.2026;349;Individual;Edward Calvin Kendall;1886-03-08;South Norwalk, CT;United States of America;Male;Mayo Clinic;Rochester, MN;United States of America;04.05.1972;Princeton, NJ;United States of America;»—“»Õ¿;1950;ÀŒ∆‹;64.0;Adult
254;1950;Medicine;The Nobel Prize in Physiology or Medicine 1950;01.03.2026;350;Individual;Tadeus Reichstein;1897-07-20;Wloclawek;Poland;Male;Basel University;Basel;Switzerland;01.08.1996;Basel;Switzerland;ÀŒ∆‹;1950;ÀŒ∆‹;53.0;Adult
255;1950;Medicine;The Nobel Prize in Physiology or Medicine 1950;01.03.2026;351;Individual;Philip Showalter Hench;1896-02-28;Pittsburgh, PA;United States of America;Male;Mayo Clinic;Rochester, MN;United States of America;30.03.1965;Ocho Rios;Jamaica;»—“»Õ¿;1950;ÀŒ∆‹;54.0;Adult
256;1950;Peace;The Nobel Peace Prize 1950;01.01.2026;511;Individual;Ralph Bunche;1904-08-07;Detroit, MI;United States of America;Male;Harvard University;Cambridge, MA;United States of America;09.12.1971;New York, NY;United States of America;»—“»Õ¿;1950;ÀŒ∆‹;46.0;Adult
257;1950;Physics;The Nobel Prize in Physics 1950;01.01.2026;55;Individual;Cecil Frank Powell;1903-12-05;Tonbridge;United Kingdom;Male;Bristol University;Bristol;United Kingdom;09.08.1969;;Italy;ÀŒ∆‹;1950;ÀŒ∆‹;47.0;Adult
258;1951;Chemistry;The Nobel Prize in Chemistry 1951;01.02.2026;212;Individual;Edwin Mattison McMillan;1907-09-18;Redondo Beach, CA;United States of America;Male;University of California;Berkeley, CA;United States of America;07.09.1991;El Cerrito, CA;United States of America;»—“»Õ¿;1950;ÀŒ∆‹;44.0;Adult
259;1951;Chemistry;The Nobel Prize in Chemistry 1951;01.02.2026;213;Individual;Glenn Theodore Seaborg;1912-04-19;Ishpeming, MI;United States of America;Male;University of California;Berkeley, CA;United States of America;25.02.1999;Lafayette, CA;United States of America;»—“»Õ¿;1950;ÀŒ∆‹;39.0;Adult
260;1951;Literature;The Nobel Prize in Literature 1951;01.01.2026;622;Individual;P?r Fabian Lagerkvist;1891-05-23;V?xj?;Sweden;Male;;;;11.07.1974;Stockholm;Sweden;ÀŒ∆‹;1950;ÀŒ∆‹;60.0;Adult
261;1951;Medicine;The Nobel Prize in Physiology or Medicine 1951;01.01.2026;352;Individual;Max Theiler;1899-01-30;Pretoria;South Africa;Male;Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation;New York, NY;United States of America;11.08.1972;New Haven, CT;United States of America;ÀŒ∆‹;1950;ÀŒ∆‹;52.0;Adult
262;1951;Peace;The Nobel Peace Prize 1951;01.01.2026;512;Individual;L?on Jouhaux;1879-07-01;Paris;France;Male;;;;28.04.1954;Paris;France;ÀŒ∆‹;1950;ÀŒ∆‹;72.0;Senior
263;1951;Physics;The Nobel Prize in Physics 1951;01.02.2026;56;Individual;Sir John Douglas Cockcroft;1897-05-27;Todmorden;United Kingdom;Male;Atomic Energy Research Establishment;Harwell, Berkshire;United Kingdom;18.09.1967;Cambridge;United Kingdom;ÀŒ∆‹;1950;ÀŒ∆‹;54.0;Adult
264;1951;Physics;The Nobel Prize in Physics 1951;01.02.2026;57;Individual;Ernest Thomas Sinton Walton;1903-10-06;Dungarvan;Ireland;Male;Trinity College;Dublin;Ireland;25.06.1995;Belfast;Northern Ireland;ÀŒ∆‹;1950;ÀŒ∆‹;48.0;Adult
265;1952;Chemistry;The Nobel Prize in Chemistry 1952;01.02.2026;214;Individual;Archer John Porter Martin;1910-03-01;London;United Kingdom;Male;National Institute for Medical Research;London;United Kingdom;28.07.2002;Llangarron;United Kingdom;ÀŒ∆‹;1950;ÀŒ∆‹;42.0;Adult
266;1952;Chemistry;The Nobel Prize in Chemistry 1952;01.02.2026;215;Individual;Richard Laurence Millington Synge;1914-10-28;Liverpool;United Kingdom;Male;Rowett Research Institute;Bucksburn (Scotland);United Kingdom;18.08.1994;Norwich;United Kingdom;ÀŒ∆‹;1950;ÀŒ∆‹;38.0;Adult
267;1952;Literature;The Nobel Prize in Literature 1952;01.01.2026;623;Individual;Fran?ois Mauriac;1885-10-11;Bordeaux;France;Male;;;;01.09.1970;Paris;France;ÀŒ∆‹;1950;ÀŒ∆‹;67.0;Senior
268;1952;Medicine;The Nobel Prize in Physiology or Medicine 1952;01.01.2026;353;Individual;Selman Abraham Waksman;1888-07-22;Priluka (Nova Pryluka);Russian Empire (Ukraine);Male;Rutgers University;New Brunswick, NJ;United States of America;16.08.1973;Hyannis, MA;United States of America;ÀŒ∆‹;1950;ÀŒ∆‹;64.0;Adult
269;1952;Peace;The Nobel Peace Prize 1952;01.01.2026;513;Individual;Albert Schweitzer;1875-01-14;Kaysersberg;Germany (France);Male;;;;04.09.1965;Lambar?n?;Gabon;ÀŒ∆‹;1950;ÀŒ∆‹;77.0;Senior
270;1952;Physics;The Nobel Prize in Physics 1952;01.02.2026;58;Individual;Felix Bloch;1905-10-23;Zurich;Switzerland;Male;Stanford University;Stanford, CA;United States of America;10.09.1983;Zurich;Switzerland;ÀŒ∆‹;1950;ÀŒ∆‹;47.0;Adult
271;1952;Physics;The Nobel Prize in Physics 1952;01.02.2026;59;Individual;Edward Mills Purcell;1912-08-30;Taylorville, IL;United States of America;Male;Harvard University;Cambridge, MA;United States of America;07.03.1997;Cambridge, MA;United States of America;»—“»Õ¿;1950;ÀŒ∆‹;40.0;Adult
272;1953;Chemistry;The Nobel Prize in Chemistry 1953;01.01.2026;216;Individual;Hermann Staudinger;1881-03-23;Worms;Germany;Male;University of Freiburg;Breisgau;Federal Republic of Germany;08.09.1965;Freiburg im Breisgau;West Germany (Germany);ÀŒ∆‹;1950;ÀŒ∆‹;72.0;Senior
273;1953;Literature;The Nobel Prize in Literature 1953;01.01.2026;624;Individual;Sir Winston Leonard Spencer Churchill;1874-11-30;Woodstock;United Kingdom;Male;;;;24.01.1965;London;United Kingdom;ÀŒ∆‹;1950;ÀŒ∆‹;79.0;Senior
274;1953;Medicine;The Nobel Prize in Physiology or Medicine 1953;01.02.2026;354;Individual;Hans Adolf Krebs;1900-08-25;Hildesheim;Germany;Male;Sheffield University;Sheffield;United Kingdom;22.11.1981;Oxford;United Kingdom;ÀŒ∆‹;1950;ÀŒ∆‹;53.0;Adult
275;1953;Medicine;The Nobel Prize in Physiology or Medicine 1953;01.02.2026;355;Individual;Fritz Albert Lipmann;1899-06-12;Koenigsberg (Kaliningrad);Germany (Russia);Male;Harvard Medical School;Boston, MA;United States of America;24.07.1986;Poughkeepsie, NY;United States of America;ÀŒ∆‹;1950;ÀŒ∆‹;54.0;Adult
276;1953;Peace;The Nobel Peace Prize 1953;01.01.2026;514;Individual;George Catlett Marshall;1880-12-31;Uniontown, PA;United States of America;Male;;;;16.10.1959;Washington, DC;United States of America;»—“»Õ¿;1950;ÀŒ∆‹;73.0;Senior
277;1953;Physics;The Nobel Prize in Physics 1953;01.01.2026;60;Individual;Frits Zernike;1888-07-16;Amsterdam;Netherlands;Male;Groningen University;Groningen;Netherlands;10.03.1966;Groningen;Netherlands;ÀŒ∆‹;1950;ÀŒ∆‹;65.0;Senior
278;1954;Chemistry;The Nobel Prize in Chemistry 1954;01.01.2026;217;Individual;Linus Carl Pauling;1901-02-28;Portland, OR;United States of America;Male;California Institute of Technology (Caltech);Pasadena, CA;United States of America;19.08.1994;Big Sur, CA;United States of America;»—“»Õ¿;1950;ÀŒ∆‹;53.0;Adult
279;1954;Literature;The Nobel Prize in Literature 1954;01.01.2026;625;Individual;Ernest Miller Hemingway;1899-07-21;Oak Park, IL;United States of America;Male;;;;02.07.1961;Ketchum, ID;United States of America;»—“»Õ¿;1950;ÀŒ∆‹;55.0;Adult
280;1954;Medicine;The Nobel Prize in Physiology or Medicine 1954;01.03.2026;356;Individual;John Franklin Enders;1897-02-10;West Hartford, CT;United States of America;Male;Harvard Medical School;Boston, MA;United States of America;08.09.1985;Waterford, CT;United States of America;»—“»Õ¿;1950;ÀŒ∆‹;57.0;Adult
281;1954;Medicine;The Nobel Prize in Physiology or Medicine 1954;01.03.2026;357;Individual;Thomas Huckle Weller;1915-06-15;Ann Arbor, MI;United States of America;Male;Research Division of Infectious Diseases, Children's Medical Center;Boston, MA;United States of America;23.08.2008;Needham, MA;United States of America;»—“»Õ¿;1950;ÀŒ∆‹;39.0;Adult
282;1954;Medicine;The Nobel Prize in Physiology or Medicine 1954;01.03.2026;358;Individual;Frederick Chapman Robbins;1916-08-25;Auburn, AL;United States of America;Male;Western Reserve University;Cleveland, OH;United States of America;04.08.2003;Cleveland, OH;United States of America;»—“»Õ¿;1950;ÀŒ∆‹;38.0;Adult
283;1954;Peace;The Nobel Peace Prize 1954;01.01.2026;515;Organization;Office of the United Nations High Commissioner for Refugees (UNHCR);;;;;;;;;;;ÀŒ∆‹;1950;ÀŒ∆‹;;Senior
284;1954;Physics;The Nobel Prize in Physics 1954;01.02.2026;61;Individual;Max Born;1882-12-11;Breslau (Wroclaw);Germany (Poland);Male;Edinburgh University;Edinburgh;United Kingdom;05.01.1970;G?ttingen;West Germany (Germany);ÀŒ∆‹;1950;ÀŒ∆‹;72.0;Senior
285;1954;Physics;The Nobel Prize in Physics 1954;01.02.2026;62;Individual;Walther Bothe;1891-01-08;Oranienburg;Germany;Male;University of Heidelberg;Heidelberg;Federal Republic of Germany;08.02.1957;Heidelberg;West Germany (Germany);ÀŒ∆‹;1950;ÀŒ∆‹;63.0;Adult
286;1955;Chemistry;The Nobel Prize in Chemistry 1955;01.01.2026;218;Individual;Vincent du Vigneaud;1901-05-18;Chicago, IL;United States of America;Male;Cornell University;Ithaca, NY;United States of America;11.12.1978;White Plains, NY;United States of America;»—“»Õ¿;1950;ÀŒ∆‹;54.0;Adult
